legalRepresentative,qualityRepresentative,license,companyName,area,repositoryAddress,validTillDate,issuingAuthority,registrationAddress,licenseDate,businessScope,companyController
***,胡开建,鄂CB0273344,老百姓大药房连锁（湖北）有限公司武汉解放...,江汉区,由老百姓大药房连锁（湖北）有限公司统一配送,2020-02-15,武汉市江汉区行政审批局,武汉市江汉区解放大道718号1层,20170925,处方药(不含禁止类)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,杨芬
曹丽,喻晋,鄂DA0276360,武汉御同仁药房有限责任公司,江汉区,***,2021-07-11,武汉市江汉区行政审批局,武汉市江汉区红旗渠路唐家墩村顶琇国际公馆第1、2号楼裙楼1-2层15商号房,20170925,处方药（禁止类除外）、非处方药；中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。******,陈道义
***,韩志红,鄂CB0272283,武汉江瀚大药房连锁有限公司海虹景分店,江汉区,由武汉江瀚大药房连锁有限公司统一配送,2019-11-12,武汉市江汉区行政审批局,武汉市江汉区三眼桥北路26号1层,20170925,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏冷冻药品***,章明
***,郭向阳,鄂CB0272359,湖北智仁大药房有限公司双华路店,江汉区,由湖北智仁大药房有限公司统一配送,2020-08-13,武汉市江汉区行政审批局,武汉市江汉区华苑小区紫薇苑3栋1单元1层102室,20170925,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏冷冻药品***,余建新
***,汪瑾,鄂CB0278139,湖北同济堂药房有限公司极地海洋店,东西湖区,由湖北同济堂药房有限公司统一配送,2020-12-30,武汉市东西湖区食品药品监督管理局,武汉市东西湖区金银潭大道以南、宏图大道大道以西409#-3号商铺（11）,20170925,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,毛蓉
***,罗桂珍,鄂CB0279305,武汉市佳源堂大药房连锁有限公司潘家田店,黄陂区,武汉市黄陂区向阳大街梅园小区1号2-2室,2020-03-04,武汉市黄陂区市场监督管理局,武汉市黄陂区前川街潘家田金明道42号1-6号,20170922,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,邓智勇
,刘红梅,鄂CB0273407,武汉修正堂大药房连锁经营有限公司华生广场...,硚口区,,2020-08-03,武汉市硚口区食品药品监督管理局,武汉市硚口区长丰村汉丹铁路以北华生.汉口城市广场北区E17栋1层008室,20170922,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外***,刘芸
,王勇,鄂CB0279751,武汉欣瑞大药房有限公司和平康乐药店,新洲区,,2021-01-05,武汉市新洲区市场监督管理局,武汉市新洲区和平乡正街,20170915,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,龚小燕
***,杨丽,鄂CB0272320,湖北正和大药房连锁有限责任公司第十三分店,江汉区,由湖北正和大药房连锁有限责任公司统一配送,2020-02-01,武汉市江汉区行政审批局,武汉市江汉区新华下路小区45栋1层5-6室,20170915,处方药(不含禁止类)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,刘立强
***,蒋琼霞,鄂CB0272247,湖北正和大药房连锁有限责任公司第四分店,江汉区,由湖北正和大药房连锁有限责任公司统一配送,2019-09-02,武汉市江汉区行政审批局,武汉市江汉区新华下路园丁苑商住楼1层6号、7号商网,20170915,处方药(不含禁止类)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,刘立强
***,马浩然,鄂CB0272321,湖北正和大药房连锁有限责任公司第十八分店,江汉区,由湖北正和大药房连锁有限责任公司统一配送,2020-02-01,武汉市江汉区行政审批局,武汉市江汉区华苑小区（兰卉苑5栋）30栋1层1室,20170915,处方药(不含禁止类)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,刘立强
***,罗欢欢,鄂CB0272028,湖北正和大药房连锁有限责任公司第二分店,江汉区,由湖北正和大药房连锁有限责任公司统一配送,2019-11-03,武汉市江汉区行政审批局,武汉市江汉区万松园明渠综合楼7-8号,20170915,处方药(不含禁止类)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,刘立强
刘亚琦,李红,鄂DA0271119,武汉国汇药业有限公司,江岸区,无,2020-01-11,武汉市江岸区食品药品监督管理局,武汉市江岸后湖乡淌湖村四村后湖新都2幢1层07号,20170918,处方药(禁止类除外)、非处方药（不含冷藏冷冻药品）、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,韩四九
***,熊红平,鄂CB0276901,好药师大药房连锁有限公司五里新村店,汉阳区,***,2022-09-17,武汉市汉阳区行政审批局,武汉市汉阳区轨道交通4号线二期汉阳火车站汉阳天地A3-2、A3-5号,20170918,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏药品）***,秦瑜
**,邱静,鄂CB0270881,武汉璟泓万方堂大药房连锁有限公司柏林店,东湖新技术开发区,**,2019-11-27,武汉东湖新技术开发区市场监督管理局,武汉东湖新技术开发区光谷世界城三期F地块9号楼一层,20170918,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张燕华
喻爱萍,程微,鄂DB0279776,武汉市康来源大药房有限公司,新洲区,,2020-12-27,武汉市新洲区市场监督管理局,武汉市新洲区阳逻街平江路,20170913,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,池晨
余少春,王立亭,鄂DB0279788,武汉市新洲区武湖兴达大药房,新洲区,,2020-12-28,武汉市新洲区市场监督管理局,武汉市新洲区阳逻街保利3幢1层1-13号,20170913,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,池晨
***,左延杰,鄂CB0276892,湖北益丰大药房连锁有限公司武汉永安大道分...,新洲区,***,2022-09-10,武汉市新洲区行政审批局,武汉市新洲区邾城街永安大道301号/栋/单元1-5层,20170911,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,赵次玲
———,王梅,鄂CB0273402,武汉永仁堂大药房连锁有限公司融侨锦城药店,硚口区,武汉永仁堂大药房连锁有限公司配送,2020-07-09,武汉市硚口区行政审批局,武汉市硚口区解放大道66号融侨锦城25.26栋商铺1层74室,20170913,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外***,丁虹
----,刘金媛,鄂CB0276149,湖北心连心药房连锁有限责任公司工业一路店,青山区,由湖北心连心药房连锁有限责任公司统一配送,2020-05-24,武汉市青山区行政审批局,武汉市青山区112街1-2门底层恩施街12号,20170905,处方药(禁止类除外)、非处方药(甲类、乙类)、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏冷冻药品******,肖国祥
胡延安,张涛,鄂DA2016010602,武汉康桥药业有限公司,洪山区,——,2021-01-05,武汉市洪山区行政审批局,珞喻路1037号华中科技大学生活区集贸市场门面,20170911,甲类非处方药、乙类非处方药;（含冷藏冷冻药品）***,张涛
***,马则梅,鄂CB0276891,湖北益丰大药房连锁有限公司武汉南安街分店,新洲区,***,2022-09-10,武汉市新洲区行政审批局,武汉市新洲区邾城街翠竹小区302号,20170911,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,赵次玲
孙慧芬,熊薇,鄂DA2015122301,武汉市普森药房有限公司,洪山区,——,2020-12-22,武汉市洪山区行政审批局,"武汉市洪山区马湖明泽丰华苑15-16栋3,4号门面",20170912,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、（含冷藏冷冻药品）***,熊继芬
——,黄敏,鄂CB2015120801,武汉海王星辰医药连锁有限公司军威苑店,洪山区,由武汉海王星辰医药连锁有限公司统一配送,2020-12-07,武汉市洪山区行政审批局,洪山区军威苑小区15栋2-3号,20170913,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外***,朱孝娥
——,李璐,鄂CB0277181,武汉东明药房连锁有限公司铁机分店,洪山区,由武汉东明药房连锁有限公司统一配送,2020-04-06,武汉市洪山区行政审批局,洪山区和平乡铁机集团万宝园市场24#25#,20170904,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,汤明起
***,万凤琴,鄂CB0270609,武汉同仁美康大药房有限公司贸易路店,经济技术开发区（汉南区）,由武汉同仁美康大药房有限公司统一配送,2022-06-25,武汉经济技术开发区（汉南区）行政审批局,武汉经济技术开发区沌口街贸易三路76号,20170904,处方药（不含禁止类）、非处方药：中成药、化学药制剂、抗生素制剂、生化药品、生物制品（不含疫苗）（含冷藏药品）***,刘露
***,邓春西,鄂DB0276886,武汉市瑞寿康医药有限公司安山分公司,江夏区,***,2022-09-03,武汉市江夏区行政审批局,武汉市江夏区安山办事处安山村兴安路169号,20170904,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,鲍东放
----,杨雄,鄂CB0276192,武汉市汉深大药房连锁有限公司建六分店,青山区,由武汉市汉深大药房连锁有限公司统一配送,2019-10-10,武汉市青山区行政审批局,青山区16街新沟桥26-28门,20170828,处方药(禁止类除外)、非处方药( 甲类、乙类)、中成药、化学药制剂、抗生素制剂、生化药品、不含冷藏冷冻药品******,刘敏
胡定坤,姚燕婷,鄂DA0270401,武汉德元堂大药房有限公司,化学工业区,无,2019-03-27,武汉化学工业区管理委员会行政审批局,武汉市化学工业区八吉府街黎明村L8-1门面,20170905,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,胡定坤
,张美容,鄂CB0271081,好药师大药房连锁有限公司东立国际店,江岸区,,2019-12-03,武汉市江岸区食品药品监督管理局,武汉市江岸区二七路89号东立国际一期11栋1层3室,20170901,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,秦瑜
,陈笑桥,鄂CB0271061,好药师大药房连锁有限公司花莲店,江岸区,,2020-03-29,武汉市江岸区食品药品监督管理局,江岸区东方大厦1栋1层3-1室,20170901,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,秦瑜
***,余通,鄂DB0276884,武汉市康宇堂大药房有限公司御水华城店,汉阳区,***,2022-08-29,武汉市汉阳区食品药品监督管理局,武汉市汉阳区红卫村4号地块御水华城第20、21、22幢1层22、23号房,20170830,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,丰惠超
***,王保锋,鄂CB0278254,湖北心连心药房连锁有限责任公司六支沟店,东西湖区,由湖北心连心药房连锁有限责任公司统一配送,2019-07-13,武汉市东西湖区食品药品监督管理局,武汉市东西湖区山南路吴家山水电服务中心集资楼1层5号、6号,20170828,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏冷冻药品,肖国祥
***,夏晓琼,鄂CB0274431,好药师大药房连锁有限公司麦迪森店,汉阳区,***,2020-10-20,武汉市汉阳区食品药品监督管理局,武汉市汉阳区龙阳大道76号九州通大厦1层1商,20170828,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)(含冷藏药品)***,秦瑜
***,肖琼,鄂CB0274312,好药师大药房连锁有限公司七里店,汉阳区,由好药师大药房连锁有限公司统一配送,2020-12-27,武汉市汉阳区食品药品监督管理局,武汉市汉阳区汉阳大道532号花前树下4号楼4单元1楼9号、10号商网,20170828,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)（含冷藏药品）***,秦瑜
***,程韧,鄂CB0274322,好药师大药房连锁有限公司玫瑰街店,汉阳区,由好药师大药房连锁有限公司统一配送,2019-12-01,武汉市汉阳区食品药品监督管理局,武汉市汉阳区玫瑰街13号,20170828,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)（含冷藏药品）***,秦瑜
——,袁俊芳,鄂CB0275436,湖北长江大药房连锁武汉有限公司首义路店,武昌区,由湖北长江大药房连锁武汉有限公司配送,2020-12-21,武汉市武昌区行政审批局,武昌区彭刘杨路194--196号1楼1号商铺,20170824,处方药、非处方药(甲类、乙类)：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,张莉
张莉,方庆,鄂BA0275026,湖北长江大药房连锁武汉有限公司,武昌区,汉阳区黄金口工业园金色环路9号,2020-12-21,武汉市武昌区行政审批局,武昌区徐东大街宏祥路团结名居竹园3栋-10号门店二楼,20170828,处方药、非处方药(甲类、乙类)：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,张莉
***,左晶,鄂CB0274355,好药师大药房连锁有限公司太子水榭店,汉阳区,由好药师大药房连锁有限公司统一配送,2020-02-10,武汉市汉阳区食品药品监督管理局,武汉市汉阳区四新北路670号太子水榭18-19栋1-2层1室,20170828,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)（含冷藏药品）***,秦瑜
***,陈文昭,鄂CB0274349,好药师大药房连锁有限公司汉城店,汉阳区,由好药师大药房连锁有限公司统一 配送,2020-02-01,武汉市汉阳区食品药品监督管理局,武汉市汉阳区汉城路汉城村汉欣苑（汉城村还建房一期）3栋1号楼(即西-12）商铺,20170828,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)(含冷藏药品)***,秦瑜
****,丁启瑞,鄂CB0278778,武汉福康大药房零售连锁有限公司消泗药店,蔡甸区,由武汉福康大药房零售连锁有限公司统一配送,2019-12-16,武汉市蔡甸区行政审批局,武汉市蔡甸区消泗乡正街157号,20170824,非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（不含冷藏冷冻药品）***,许冬霞
***,柳孝珍,鄂CB0276756,湖北益生天济大药房连锁有限公司五龙路店,汉阳区,武汉市江夏区藏龙岛办事处九凤街18号长咀光电子工业园聚贤楼C座2层,2022-05-15,武汉市汉阳区食品药品监督管理局,武汉市汉阳区龙江村40号龙江庭苑第4栋1层2号、3号房,20170817,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏药品）***,郑红云
余建新,罗建喜,鄂CB0279747,湖北智仁大药房有限公司娲石店,新洲区,武汉市新洲区阳逻街新施公路以南余泊路以东欣隆湖滨半岛4栋第1层,2020-11-30,武汉市新洲区市场监督管理局,武汉市新洲区阳逻街新施公路以南余泊路以东欣隆湖滨半岛4栋第1层,20170905,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,余建新
———,王小华,鄂CB0273437,好药师大药房连锁有限公司紫润店,硚口区,好药师大药房连锁有限公司配送,2020-10-08,武汉市硚口区行政审批局,武汉市硚口区长丰街紫润明园7栋商1#-1号,20170818,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外***,秦瑜
***,郭奕霏,鄂CB0207120,武汉同仁美康大药房有限公司滨湖店,经济技术开发区（汉南区）,由武汉同仁美康大药房有限公司统一配送,2022-06-06,武汉经济技术开发区（汉南区）行政审批局,武汉经济技术开发区沌口街滨湖社区1号门第4、5-1号门面,20170818,处方药(不含禁止类)、非处方药：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)（含冷藏药品）***,刘露
,涂金凤,鄂CB0274383,老百姓大药房连锁（湖北）有限公司武汉桃花...,汉阳区,由老百姓大药房连锁（湖北）有限公司统一配送,2020-04-21,武汉市汉阳区食品药品监督管理局,武汉市汉阳区七里庙小区21-23栋1层3室（商网）,20170815,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨芬
,熊宇,鄂CB0279810,武汉欣瑞大药房有限公司瑞佳康大药房,新洲区,,2020-07-18,武汉市新洲区市场监督管理局,武汉市新洲区阳逻街军安路名人公馆1号楼,20170818,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,任智军
***,段晶晶,鄂CB0274245,广济堂医药连锁有限公司黄金口店,汉阳区,由广济堂医药连锁有限公司统一配送,2018-03-24,武汉市汉阳区食品药品监督管理局,武汉市汉阳区黄金口五村特一号黄金口岸第106-3栋1层2号房,20170818,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（不含冷藏冷冻药品）***,李莎
***,余凤琴,鄂CB0278789,湖北智仁大药房有限公司长寿分店,蔡甸区,由湖北智仁大药房有限公司统一配送,2020-02-08,武汉市蔡甸区行政审批局,武汉市蔡甸区蔡甸街文正街84号附1号,20170818,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,余建新
——,胡晶晶,鄂CB2015081301,湖北省昌盛大药房有限公司武汉保利花园店,洪山区,由湖北省昌盛大药房有限公司统一配送,2020-08-12,武汉市洪山区行政审批局,武汉市洪山区关山一路74号保利花园31幢s28号商铺,20170809,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,高惟学
——,王贤超,鄂CB2016042001,湖北省昌盛大药房有限公司武汉关山春晓店,洪山区,由湖北省昌盛大药房有限公司统一配送,2021-04-19,武汉市洪山区行政审批局,洪山区关山一路特1号关山春晓一层808号商铺,20170809,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,高惟学
刘芦萍,喻祖福,鄂BA0276306,湖北省昌盛大药房有限公司,洪山区,由湖北省昌盛大药房有限公司统一配送,2021-06-13,武汉市洪山区行政审批局,武汉市洪山区和平街爱家国际华城一期一区5号商业楼D-223、225,20170808,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,高惟学
李学刚,郑俊敏,鄂DA0276855,武汉四季安欣大药房有限公司,汉阳区,***,2022-08-07,武汉市汉阳区食品药品监督管理局,武汉市汉阳区江堤街红卫社区四新北路鲤鱼洲家园商铺1-1-07号,20170808,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（不含冷藏药品）***,徐绍松
方羽新,钟丽芳,鄂DA0275401,武汉惠宁大药房药业有限公司,青山区,----,2020-12-30,武汉市青山区行政审批局,武汉市青山区121街21门附3号,20170808,处方药(禁止类除外)、非处方药（甲类、乙类）、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、（不含冷藏冷冻药品）******,陈帆
***,朱红琳,鄂CB0276852,武汉欣瑞大药房有限公司第二十七药店,新洲区,***,2022-08-03,武汉市新洲区市场监督管理局,武汉市新洲区邾城街道,20170804,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（不含冷藏冷冻药品）***,吴静
——,祝峰,鄂CB0275269,湖北心连心药房连锁有限责任公司中南店,武昌区,由湖北心连心药房连锁有限责任公司统一配送,2019-12-19,武汉市武昌区行政审批局,武汉市武昌区中南二路80号,20170808,处方药、非处方药（甲类、乙类）：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,肖国祥
